,A ID,B ID,Race Margin,Win % Margin,Skill Margin,Game Margin,AvgPPM Margin,Win Margin,Gender Matchup,State
17122,10022862,10016877,-4.0,4.118451504313079,-37,-38,0.5,6.0,0,18
17123,10020079,10016877,0.0,8.545918367346943,-3,-37,1.1800000000000015,-3.0,0,18
17124,10030207,10016877,-6.0,-0.11479591836734926,-41,-44,0.040000000000000924,6.0,0,18
17125,10030038,10016877,-2.0,0.5102040816326507,-11,-81,0.16999999999999993,5.0,0,18
17126,10030038,10016877,-2.0,0.5102040816326507,-11,-81,0.16999999999999993,4.0,0,18
17127,10023680,10016877,-2.0,3.2879818594104293,-26,-101,0.45000000000000107,1.0,0,18
17128,10012607,10016877,-2.0,-0.7533338245045371,-28,23,0.0,-1.0,0,18
17129,10009332,10016877,-2.0,7.47990105132962,-5,-4,0.8100000000000005,1.0,0,19
17133,10009342,10045664,6.0,33.031598357220695,83,154,4.959999999999999,3.0,0,18
17137,10010848,10045664,0.0,25.982664785325532,35,129,4.1899999999999995,4.0,0,18
17138,10041496,10045664,-1.0,11.382113821138205,12,2,1.8699999999999992,3.0,0,18
17139,10041496,10045664,0.0,11.382113821138205,12,2,1.8699999999999992,-2.0,0,18
17140,10009342,10046173,8.0,54.98281786941582,85,173,8.27,2.0,1,18
17144,10041496,10046173,0.0,33.33333333333333,14,21,5.18,2.0,1,18
17145,10045663,10046173,1.0,33.33333333333333,32,0,4.83,1.0,1,18
17146,10009342,10022848,1.0,3.7223136677351505,8,83,0.03999999999999915,-1.0,0,18
17150,10009335,10022848,-1.0,-4.22103051747014,-37,111,-0.8000000000000007,-1.0,0,18
17154,10009335,10022848,-1.0,-4.22103051747014,-37,111,-0.8000000000000007,1.0,0,18
17158,10046807,10022848,-3.0,-51.26050420168067,-44,-95,-6.9,-2.0,0,18
17159,10012612,10022848,-4.0,0.20291043246567853,-50,131,-0.4900000000000002,6.0,0,18
17160,10012609,10022848,-2.0,-4.646958384947602,-48,46,-0.7599999999999998,-3.0,-1,18
17161,10030062,10022848,-4.0,-3.434417245158926,-48,-73,-1.7699999999999996,2.0,0,18
